DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
18/10/2025,0:00,Boston River,Danubio FC,40,33,28,51,49,56,44,Forebet
18/10/2025,0:00,Amazonas,Novorizontino SP,26,34,41,39,61,38,62,Forebet
18/10/2025,0:00,Orense SC,Ind del Valle,21,29,50,55,45,60,40,Forebet
18/10/2025,0:00,Charlotte Independence,Chattanooga RW,33,35,32,63,37,68,32,Forebet
18/10/2025,0:00,Necaxa W,Toluca W,12,33,55,33,67,42,58,Forebet
18/10/2025,0:00,Querétaro W,Cruz Azul W,17,27,56,29,71,48,52,Forebet
18/10/2025,0:30,Deportes Iquique,O Higgins,18,25,57,56,44,54,46,Forebet
18/10/2025,0:30,Wellington Olympic,Auckland City,47,20,33,59,41,70,30,Forebet
18/10/2025,1:00,The Strongest,Independiente Petrolero,51,24,25,58,42,81,19,Forebet
18/10/2025,1:00,Argentino Merlo,Villa Dálmine,31,34,35,55,45,53,47,Forebet
18/10/2025,1:00,FC Santiago,Zitacuaro,57,27,16,28,72,36,64,Forebet
18/10/2025,1:00,UAG Tecos,Tritones Vallarta,35,43,23,56,44,76,24,Forebet
18/10/2025,1:15,Argentinos Juniors,Newell's Old Boys,45,31,24,46,54,45,55,Forebet
18/10/2025,1:15,Lanús,Godoy Cruz,45,40,15,50,50,50,50,Forebet
18/10/2025,2:00,Puebla FC,Club Tijuana,21,28,51,52,48,58,42,Forebet
18/10/2025,2:00,Tepatitlán de Morelos,Cancun,21,33,47,69,31,71,29,Forebet
18/10/2025,2:00,Correcaminos,Dorados Sinaloa,46,31,23,83,17,63,37,Forebet
18/10/2025,2:00,Héroes de Zaci,Chapulineros,48,27,25,30,70,40,60,Forebet
18/10/2025,2:00,Auckland II,Coastal Spirit,37,28,35,55,45,70,30,Forebet
18/10/2025,2:00,Santos Laguna W,Mazatlán W,60,26,14,44,56,38,62,Forebet
18/10/2025,2:45,Christchurch United,Western Springs,34,36,30,45,55,71,29,Forebet
18/10/2025,3:00,Leones Negros,Alebrijes de Oaxaca,34,40,26,45,55,55,45,Forebet
