TIME,DATE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,OVER 2.5,UNDER 2.5,BTS,OTS,NAME
19:45,2025-10-14,Portugal,Hungary,75,17,8,77,23,53,47,FORBET
01:30,2025-10-14,Fortaleza FC,Chico,56,31,13,46,54,43,57,FORBET
19:45,2025-10-14,Spain,Bulgaria,82,13,5,83,17,39,61,FORBET
19:45,2025-10-14,Turkey,Georgia,60,22,18,68,32,51,49,FORBET
19:45,2025-10-14,Italy,Israel,66,17,17,79,21,48,52,FORBET
17:00,2025-10-14,Estonia,Moldova,43,28,29,45,55,45,55,FORBET
19:45,2025-10-14,Latvia,England,15,20,65,59,41,38,62,FORBET
19:45,2025-10-14,Andorra,Serbia,15,24,61,47,53,28,72,FORBET
23:30,2025-10-14,Chapecoense,Botafogo SP,61,24,15,54,46,44,56,FORBET
23:30,2025-10-14,Paysandu,Remo,26,35,39,42,58,58,42,FORBET
01:30,2025-10-14,CRB,Ferroviaria,55,22,23,52,48,47,53,FORBET
00:00,2025-10-14,San Luis,Deportes Recoleta,39,35,26,47,53,52,48,FORBET
17:00,2025-10-14,Algeria,Uganda,51,27,22,65,35,52,48,FORBET
17:00,2025-10-14,Guinea,Botswana,51,31,18,42,58,38,62,FORBET
17:00,2025-10-14,Somalia,Mozambique,15,20,65,53,47,33,67,FORBET
17:00,2025-10-14,Nigeria,Benin,55,28,17,53,47,40,60,FORBET
17:00,2025-10-14,South Africa,Rwanda,67,23,10,37,63,26,74,FORBET
15:00,2025-10-14,India,Singapore,31,26,43,55,45,44,56,FORBET
13:00,2025-10-14,Hong Kong,Bangladesh,55,26,19,48,52,34,66,FORBET
20:00,2025-10-14,Senegal,Mauritania,68,26,6,49,51,25,75,FORBET
20:00,2025-10-14,Congo DR,Sudan,66,20,14,48,52,33,67,FORBET
20:00,2025-10-14,Morocco,Congo,83,12,5,64,36,29,71,FORBET
18:00,2025-10-14,Qatar,United Arab Emirates,55,24,21,58,42,60,40,FORBET
17:00,2025-10-14,Romania (u21),Cyprus (u21),62,21,17,60,40,36,64,FORBET
17:30,2025-10-14,Spain (u21),Finland (u21),75,17,8,68,32,50,50,FORBET
17:00,2025-10-14,Kosovo (u21),San Marino (u21),72,17,11,70,30,20,80,FORBET
