TIME,DATE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
23:00,2025-10-16,Gremio,Sao Paulo,35,32,33,63,37,44,56,STA
01:30,2025-10-16,Santos,Corinthians,38,31,31,61,39,41,59,STA
01:30,2025-10-16,Atletico Mineiro,Cruzeiro,30,30,40,65,35,40,60,STA
00:00,2025-10-16,Mirassol,Internacional,51,30,19,47,53,61,39,STA
00:00,2025-10-16,Sport Recife,Ceara,34,31,35,50,50,49,51,STA
01:30,2025-10-16,Fortaleza,Vasco Da Gama,37,30,33,45,55,48,52,STA
02:20,2025-10-16,America De Cali,Junior,41,30,29,54,46,49,51,STA
00:20,2025-10-16,Pereira,Millonarios,44,31,25,53,47,48,52,STA
16:00,2025-10-16,Ilves,KuPS,44,29,27,37,63,55,45,STA
15:45,2025-10-16,Tractor Sazi,Malavan,51,31,18,57,43,32,68,STA
20:00,2025-10-16,Huddersfield,Bolton,46,32,22,51,49,55,45,STA
02:30,2025-10-16,CD Marathon,Real Espana,46,29,25,48,52,54,46,STA
15:30,2025-10-16,Nasaf Qarshi,Kokand 1912,70,20,10,37,63,40,60,STA
03:00,2025-10-16,CS Cartagines,Guadalupe FC,60,23,17,42,58,50,50,STA
03:00,2025-10-16,Deportivo Marquense,Antigua GFC,32,33,35,52,48,52,48,STA
17:30,2025-10-16,Esbjerg,Hobro,47,28,25,45,55,61,39,STA
15:30,2025-10-16,Fakel Voronezh,Ural,40,32,28,58,42,40,60,STA
15:30,2025-10-16,FC Torpedo Moscow,Veles Moscow,44,33,23,52,48,45,55,STA
13:00,2025-10-16,Martapura FC,Madura United,55,24,21,35,65,52,48,STA
03:00,2025-10-16,Orange County SC,San Antonio FC,41,32,27,44,56,50,50,STA
17:00,2025-10-16,FC Koln (w),Bayer Leverkusen (w),31,18,51,43,57,43,57,STA
04:00,2025-10-16,Tampico Madero,Mineros de Zacatecas,53,25,22,53,47,41,59,STA
20:00,2025-10-16,Paris Saint Germain (w),Real Madrid (w),34,31,35,28,72,60,40,STA
