DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
19/10/25,16:00,AF Elbasani,Vora,60,15,25,65,35,32,68,FST
19/10/25,16:00,Flamurtari,Partizani,5,43,52,67,33,36,64,FST
19/10/25,02:15,Talleres Cordoba,River Plate,28,51,21,71,29,41,59,FST
19/10/25,19:00,Estudiantes LP,Gimnasia LP,72,14,14,71,29,28,72,FST
19/10/25,19:00,Sarmiento,Velez Sarsfield,5,47,48,79,21,31,69,FST
19/10/25,22:00,San Martin SJ,Independiente,8,41,51,82,18,26,74,FST
19/10/25,02:00,Gimnasia y Tiro,Estudiantes Rio Cuarto,52,29,19,75,25,27,73,FST
19/10/25,18:45,Gimnasia Jujuy,Deportivo Madryn,46,32,22,77,23,26,74,FST
19/10/25,21:00,CD Moron,CA Atlanta,57,20,23,80,20,19,81,FST
19/10/25,14:00,Gandzasar,Ararat-Armenia,20,5,75,38,62,68,32,FST
19/10/25,16:00,BKMA,Ararat,64,9,27,64,36,31,69,FST
19/10/25,05:00,Central Coast Mariners,Newcastle Jets,6,42,52,31,69,74,26,FST
19/10/25,13:30,FC Salzburg,SCR Altach,68,11,21,41,59,54,46,FST
19/10/25,13:30,FC Blau Weiss Linz,SK Sturm Graz,36,4,60,42,58,66,34,FST
19/10/25,16:00,Rapid Vienna,LASK Linz,65,13,22,30,70,75,25,FST
19/10/25,09:30,WSPG Wels,Rapid Wien II,31,53,16,33,67,75,25,FST
19/10/25,13:00,Sabah FA,Zira,48,33,19,67,33,35,65,FST
19/10/25,15:30,Neftchi Baku,Araz,61,16,23,70,30,46,54,FST
19/10/25,12:30,Cercle Brugge,Genk,4,46,50,35,65,71,29,FST
19/10/25,15:00,Dender,KV Mechelen,30,50,20,59,41,64,36,FST
19/10/25,17:30,Sint-Truidense,Anderlecht,6,45,49,37,63,70,30,FST
19/10/25,18:15,Zulte-Waregem,Gent,16,55,29,34,66,73,27,FST
19/10/25,15:00,Lierse SK,RFC Liege,17,54,29,39,61,69,31,FST
19/10/25,15:00,Patro Eisden Maasmechelen,RFC Seraing,71,10,19,36,64,57,43,FST
19/10/25,16:30,Borac Banja Luka,Velež,89,5,6,63,37,18,82,FST
19/10/25,18:45,Siroki Brijeg,Rudar Prijedor,75,11,14,56,44,41,59,FST
19/10/25,01:00,Cruzeiro,Fortaleza,77,10,13,61,39,31,69,FST
19/10/25,20:00,Flamengo,Palmeiras,55,18,27,68,32,34,66,FST
19/10/25,22:30,Internacional,Sport Recife,63,16,21,64,36,39,61,FST
19/10/25,22:30,Ceara,Botafogo,16,60,24,71,29,35,65,FST
19/10/25,22:30,Mirassol,Sao Paulo,47,31,22,71,29,34,66,FST
