DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.25.10,16:00,Partizani , Egnatia Rrogozhinë,25,25,49,38,62,68,32,ACC
2025.25.10,15:00,El Bayadh , MC Oran,23,54,23,35,65,59,41,ACC
2025.25.10,17:00,CS Constantine , Oued Akbou,58,21,21,39,61,63,37,ACC
2025.25.10,02:10,Independ. Rivadavia , River Plate,20,20,60,36,64,73,27,ACC
2025.25.10,14:00,Pyunik Yerevan , Gandzasar,72,14,14,35,65,65,35,ACC
2025.25.10,16:00,Ararat-Armenia , BKMA,74,13,13,29,71,60,40,ACC
2025.25.10,05:00,Auckland FC , Western Sydney Wanderers,59,20,20,37,63,71,29,ACC
2025.25.10,07:00,Melbourne City , Perth Glory,73,13,13,37,63,66,34,ACC
2025.25.10,09:35,Sydney FC , Central Coast Mariners,80,10,10,37,63,69,31,ACC
2025.25.10,16:00,SCR Altach , Hartberg,61,19,19,69,31,44,56,ACC
2025.25.10,16:00,LASK Linz , Grazer AK,61,19,19,34,66,63,37,ACC
2025.25.10,16:00,WSG Swaro,ki Tirol ,29,42,29,32,68,63,37,ACC
2025.25.10,19:00,Rapid Wien II , Austria Lustenau,20,20,59,32,68,71,29,ACC
2025.25.10,13:00,Union Mauer , Neusiedl,65,17,17,29,71,63,37,ACC
2025.25.10,14:30,Wiener Viktoria , TWL Elektra,78,11,11,31,69,60,40,ACC
2025.25.10,13:00,Bischofshofen , Imst,17,17,65,34,66,71,29,ACC
2025.25.10,13:00,Kitzbühel , Kufstein,57,21,21,37,63,68,32,ACC
2025.25.10,13:30,Wals-Grünau , TSV St. Johann,68,16,16,34,66,57,43,ACC
2025.25.10,15:00,Lauterach , Schwaz,12,12,76,35,65,69,31,ACC
2025.25.10,13:00,Araz , Sabah,23,23,53,33,67,66,34,ACC
2025.25.10,15:30,Zira , Sumqayıt,80,10,10,37,63,73,27,ACC
2025.25.10,12:00,Naftan , Dinamo Minsk,11,11,78,35,65,57,43,ACC
2025.25.10,14:00,Slavia Mozyr , Neman,62,19,19,32,68,56,44,ACC
2025.25.10,16:00,FC Gomel , FC Slutsk,68,16,16,36,64,67,33,ACC
2025.25.10,18:00,Bate Borisov , Torpedo Zhodino,21,21,57,31,69,68,32,ACC
2025.25.10,15:00,Westerlo , Dender,57,21,21,33,67,59,41,ACC
2025.25.10,17:15,KV Mechelen , OH Leuven,58,21,21,40,60,65,35,ACC
2025.25.10,19:45,Gent , Standard Liege,57,21,21,36,64,69,31,ACC
2025.25.10,15:00,Club Brugge II , Olympic Charleroi,63,18,18,30,70,69,31,ACC
2025.25.10,19:00,SK Beveren , Patro Eisden Maasmechelen,57,21,21,69,31,29,71,ACC
2025.25.10,19:00,Eupen , Genk II,65,17,17,34,66,72,28,ACC
2025.25.10,19:00,RFC Liege , RWDM Brussels,23,23,53,34,66,63,37,ACC
2025.25.10,01:00,Independiente Petrolero , Bolívar,14,14,72,32,68,64,36,ACC
2025.25.10,20:00,ABB , Universitario de Vinto,67,16,16,32,68,59,41,ACC
2025.25.10,22:30,Guabirá , Blooming,23,23,53,36,64,71,29,ACC
2025.25.10,15:00,Rudar Prijedor , Zeljeznicar Sarajevo,18,18,63,35,65,65,35,ACC
2025.25.10,19:45,Velež , Siroki Brijeg,62,19,19,38,62,61,39,ACC
2025.25.10,20:00,Atletico Mineiro , Ceara,60,20,20,68,32,37,63,ACC
2025.25.10,20:00,Vitoria , Corinthians,24,51,24,69,31,42,58,ACC
2025.25.10,21:30,Fluminense , Internacional,66,17,17,63,37,36,64,ACC
2025.25.10,22:30,Sport Recife , Mirassol,28,28,43,34,66,56,44,ACC
2025.25.10,23:30,Fortaleza , Flamengo,22,22,55,71,29,31,69,ACC
2025.25.10,01:35,Cuiaba , Remo,60,20,20,61,39,30,70,ACC
2025.25.10,20:00,Athletic Club MG , America MG,68,16,16,34,66,60,40,ACC
2025.25.10,20:00,Volta Redonda , Coritiba,25,25,49,64,36,44,56,ACC
2025.25.10,22:30,Paysandu , Avai,48,26,26,35,65,56,44,ACC
2025.25.10,21:00,Ponte Preta , Londrina,66,17,17,31,69,67,33,ACC
2025.25.10,11:00,Botev Vratsa , Septemvri Sofia,66,17,17,71,29,31,69,ACC
2025.25.10,13:30,Slavia Sofia , Cherno More Varna,19,19,62,35,65,72,28,ACC
2025.25.10,16:00,Le,ki Sofia ,71,14,14,37,63,40,60,ACC
2025.25.10,14:00,Lokomotiv G. Oryahovitsa , FK Minyor Pernik,68,16,16,35,65,57,43,ACC
2025.25.10,14:00,Belasitsa , Marek,22,22,55,34,66,65,35,ACC
2025.25.10,14:00,Chernomorets 1919 Burgas , Hebar 1918,68,16,16,32,68,70,30,ACC
2025.25.10,14:00,Vihren , Sevlievo,76,12,12,33,67,59,41,ACC
2025.25.10,14:00,Orlando Pirates , Saint Eloi Lupopo,78,11,11,64,36,30,70,ACC
2025.25.10,15:00,Young Africans FC , Silver Strikers,75,12,12,70,30,40,60,ACC
2025.25.10,18:00,Al Ahly Cairo , Aigle Noir,78,11,11,29,71,43,57,ACC
2025.25.10,19:00,JS Kabylie , US Monastir,60,20,20,60,40,36,64,ACC
2025.25.10,20:00,FAR Rabat , Horoya,79,10,10,69,31,37,63,ACC
2025.25.10,14:30,USM Alger , AFAD Djekanou,78,11,11,60,40,28,72,ACC
2025.25.10,17:00,Singida Black Stars , Flambeau Centre,78,11,11,70,30,36,64,ACC
2025.25.10,17:00,Stade Tunisien , OC Safi,63,18,18,63,37,35,65,ACC
2025.25.10,17:00,Coton Sport Ouidah , San Pedro FC,18,18,64,67,33,41,59,ACC
2025.25.10,16:30,Union San Felipe , Santiago Morning,52,24,24,38,62,62,38,ACC
2025.25.10,16:30,Recoleta , Curico Unido,66,17,17,34,66,56,44,ACC
2025.25.10,16:30,Deportes Santa Cruz , San Marcos de Arica,29,42,29,39,61,56,44,ACC
2025.25.10,19:00,La Serena , Audax Italiano,61,19,19,37,63,71,29,ACC
2025.25.10,21:30,Huachipato , Deportes Iquique,60,20,20,34,66,73,27,ACC
2025.25.10,08:30,Tianjin Jinmen Tigers , Changchun Yatai,55,22,22,31,69,62,38,ACC
2025.25.10,12:00,Henan , Zhejiang,58,21,21,38,62,65,35,ACC
2025.25.10,00:00,Fortaleza CEIF , Deportivo Pasto,58,21,21,68,32,28,72,ACC
2025.25.10,02:10,Deportivo Pereira , Aguilas Doradas,59,20,20,30,70,69,31,ACC
2025.25.10,02:10,America de Cali , Junior,66,17,17,64,36,28,72,ACC
2025.25.10,20:00,Envigado FC , Boyaca Chico,59,20,20,62,38,41,59,ACC
2025.25.10,21:00,Deportes Tolima , Deportivo Cali,56,22,22,63,37,29,71,ACC
2025.25.10,22:10,Atletico Bucaramanga , Llaneros,74,13,13,66,34,36,64,ACC
2025.25.10,21:00,Bogota FC , Leones FC,55,22,22,30,70,59,41,ACC
2025.25.10,22:00,Barranquilla , Tigres FC,58,21,21,40,60,57,43,ACC
2025.25.10,22:00,Cucuta , Orsomarso,57,21,21,34,66,68,32,ACC
2025.25.10,02:00,AD San Carlos , Guadalupe FC,61,19,19,29,71,71,29,ACC
2025.25.10,20:00,Escorpiones Belén , Pitbulls Santa Barbara FC,58,21,21,37,63,71,29,ACC
2025.25.10,14:45,NK Lokomotiva Zagreb , Istra 1961,67,16,16,36,64,59,41,ACC
2025.25.10,17:00,NK Varazdin , Slaven Belupo,58,21,21,39,61,69,31,ACC
2025.25.10,12:30,Opatija , Bijelo Brdo,69,15,15,67,33,28,72,ACC
2025.25.10,14:00,NK Jarun , Karlovac,20,20,60,61,39,44,56,ACC
2025.25.10,15:00,Ethnikos Achna , Enosis,60,20,20,40,60,68,32,ACC
2025.25.10,17:00,Olympiakos Nicosia , Apollon Limassol,18,18,63,34,66,63,37,ACC
2025.25.10,13:00,Iraklis Yerolakkou , Digenis Morphou,14,14,71,34,66,61,39,ACC
2025.25.10,13:00,Ayia Napa , PAEEK,17,17,66,34,66,69,31,ACC
2025.25.10,13:00,Nea Salamis , Halkanoras,80,10,10,37,63,61,39,ACC
2025.25.10,13:00,Doxa , Ahironas / Onisilos,76,12,12,37,63,58,42,ACC
2025.25.10,14:00,Dukla Praha , Slovacko,55,22,22,66,34,35,65,ACC
2025.25.10,14:00,Hradec Kralove , FK Teplice,59,20,20,70,30,29,71,ACC
2025.25.10,14:00,Mlada Boleslav , MFK Karvina,64,18,18,38,62,73,27,ACC
2025.25.10,14:00,FC Zlin , Pardubice,58,21,21,39,61,60,40,ACC
2025.25.10,17:00,Slovan Liberec , FK Jablonec,56,22,22,39,61,69,31,ACC
2025.25.10,13:30,Hanacka Slavia Kromeriz , Vysocina Jihlava,58,21,21,33,67,70,30,ACC
2025.25.10,13:30,FK Pribram , MFK Chrudim,49,25,25,36,64,59,41,ACC
2025.25.10,13:30,FC Silon Taborsko , Slavia Prague B,69,15,15,31,69,69,31,ACC
2025.25.10,16:00,SK Artis Brno , Opava,62,19,19,60,40,33,67,ACC
2025.25.10,09:15,Loko Vltavín , Kladno,10,10,79,35,65,66,34,ACC
2025.25.10,09:15,Motorlet Praha , Slavia III,20,20,60,35,65,70,30,ACC
2025.25.10,09:00,Kolín , Neratovice-Byškovice,65,17,17,40,60,66,34,ACC
2025.25.10,09:15,Jablonec II , Teplice II,66,17,17,39,61,59,41,ACC
2025.25.10,13:00,Arsenal Česká Lípa , Slovan Velvary,80,10,10,32,68,66,34,ACC
2025.25.10,09:15,Třinec , Vítkovice,77,11,11,34,66,57,43,ACC
2025.25.10,13:30,Blansko , Sigma Olomouc II,14,14,71,33,67,61,39,ACC
2025.25.10,13:30,Unie Hlubina , Polanka nad Odrou,63,18,18,30,70,72,28,ACC
2025.25.10,13:30,Hodonín , Frýdek-Místek,64,18,18,33,67,64,36,ACC
2025.25.10,13:00,AaB , Lyngby,68,16,16,31,69,67,33,ACC
2025.25.10,13:00,Aarhus Fremad , Esbjerg,61,19,19,38,62,66,34,ACC
2025.25.10,13:00,Hobro IK , Hillerød,17,66,17,33,67,60,40,ACC
2025.25.10,12:00,Ishøj , Naestved,22,22,55,38,62,62,38,ACC
2025.25.10,12:30,VSK Århus , Roskilde,10,10,79,40,60,63,37,ACC
2025.25.10,13:00,AB Copenhagen , Brabrand,71,14,14,33,67,63,37,ACC
2025.25.10,13:00,HIK , Skive,61,19,19,36,64,67,33,ACC
2025.25.10,12:00,Hørsholm-Usserød , Odder,59,20,20,29,71,64,36,ACC
2025.25.10,12:30,Lyseng , Sundby,51,24,24,35,65,66,34,ACC
2025.25.10,13:00,Frem , Holbæk BI,23,23,54,29,71,67,33,ACC
2025.25.10,13:00,Brønshøj , Vejgaard B,64,18,18,32,68,58,42,ACC
2025.25.10,13:00,FA 2000 , Vanløse,58,21,21,38,62,73,27,ACC
2025.25.10,14:00,Nykobing FC , Næsby,56,22,22,29,71,58,42,ACC
2025.25.10,21:00,Jarabacoa , Moca,20,20,59,34,66,65,35,ACC
2025.25.10,01:00,Orense , Universidad Catolica del Ecuador,24,24,52,33,67,71,29,ACC
2025.25.10,20:00,Mushuc Runa , Manta FC,78,11,11,68,32,27,73,ACC
2025.25.10,22:30,Barcelona Guayaquil , Libertad FC,70,15,15,29,71,64,36,ACC
2025.25.10,15:00,Haras El Hodood , Ghazl El Mehalla,28,28,43,30,70,67,33,ACC
2025.25.10,18:00,Future FC , El Mokawloon,65,17,17,33,67,62,38,ACC
2025.25.10,22:00,Zacatecoluca , Águila,22,22,55,34,66,70,30,ACC
2025.25.10,15:00,Chelsea , Sunderland,72,14,14,60,40,28,72,ACC
2025.25.10,15:00,Newcastle , Fulham,61,19,19,38,62,72,28,ACC
2025.25.10,17:30,Man Utd , Brighton,58,21,21,33,67,67,33,ACC
2025.25.10,20:00,Brentford , Liverpool,16,16,67,33,67,60,40,ACC
2025.25.10,12:30,Coventry , Watford,75,12,12,31,69,56,44,ACC
2025.25.10,12:30,Ipswich , West Brom,55,22,22,34,66,64,36,ACC
2025.25.10,12:30,Portsmouth , Stoke,24,51,24,33,67,72,28,ACC
2025.25.10,15:00,Blackburn , Southampton,21,21,58,34,66,66,34,ACC
2025.25.10,15:00,Bristol City , Birmingham,55,22,22,31,69,64,36,ACC
2025.25.10,15:00,Derby , QPR,17,66,17,34,66,68,32,ACC
2025.25.10,15:00,Hull , Charlton,69,15,15,38,62,71,29,ACC
2025.25.10,15:00,Middlesbrough , Wrexham,68,16,16,32,68,62,38,ACC
2025.25.10,15:00,Millwall , Leicester,27,45,27,31,69,58,42,ACC
2025.25.10,15:00,Sheff Wed , Oxford Utd,26,48,26,34,66,66,34,ACC
2025.25.10,15:00,Swansea , Norwich,57,21,21,30,70,72,28,ACC
2025.25.10,12:30,Bolton , Cardiff,63,18,18,30,70,69,31,ACC
2025.25.10,12:30,Mansfield , Wigan,55,22,22,34,66,66,34,ACC
2025.25.10,15:00,AFC Wimbledon , Burton Albion,55,22,22,70,30,41,59,ACC
2025.25.10,15:00,Barnsley , Rotherham,61,19,19,33,67,63,37,ACC
2025.25.10,15:00,Leyton Orient , Lincoln City,60,20,20,29,71,73,27,ACC
2025.25.10,15:00,Northampton , Luton,18,18,64,71,29,30,70,ACC
2025.25.10,15:00,Peterborough , Blackpool,58,21,21,33,67,72,28,ACC
2025.25.10,15:00,Reading , Doncaster,67,16,16,40,60,71,29,ACC
2025.25.10,15:00,Stevenage , Bradford,63,18,18,29,71,61,39,ACC
2025.25.10,15:00,Wycombe , Huddersfield,69,15,15,34,66,73,27,ACC
2025.25.10,12:30,Cheltenham , Walsall,19,19,61,70,30,41,59,ACC
2025.25.10,12:30,Fleetwood Town , Accrington Stanley,61,19,19,37,63,59,41,ACC
2025.25.10,15:00,Barrow , Barnet,17,17,65,35,65,66,34,ACC
2025.25.10,15:00,Bromley , Milton Keynes Dons,25,49,25,36,64,67,33,ACC
2025.25.10,15:00,Crawley Town , Bristol Rovers,59,20,20,38,62,70,30,ACC
2025.25.10,15:00,Crewe , Grimsby,28,44,28,33,67,67,33,ACC
2025.25.10,15:00,Gillingham , Salford City,25,50,25,32,68,56,44,ACC
2025.25.10,15:00,Harrogate Town , Newport County,58,21,21,29,71,72,28,ACC
2025.25.10,15:00,Notts County , Cambridge Utd,58,21,21,61,39,30,70,ACC
2025.25.10,15:00,Oldham , Shrewsbury,55,22,22,71,29,39,61,ACC
2025.25.10,15:00,Swindon , Colchester,55,22,22,33,67,63,37,ACC
2025.25.10,15:00,Tranmere , Chesterfield,19,19,61,36,64,58,42,ACC
2025.25.10,12:30,Halifax , York,21,21,58,38,62,66,34,ACC
2025.25.10,15:00,Braintree Town , Altrincham,17,17,66,38,62,69,31,ACC
2025.25.10,15:00,Eastleigh , Morecambe,65,17,17,30,70,68,32,ACC
2025.25.10,15:00,Forest Green , Boreham Wood,63,18,18,29,71,70,30,ACC
2025.25.10,15:00,Gateshead , Truro City,69,15,15,40,60,70,30,ACC
2025.25.10,15:00,Hartlepool , Solihull Moors,55,22,22,38,62,72,28,ACC
2025.25.10,15:00,Scunthorpe , Aldershot,61,19,19,37,63,60,40,ACC
2025.25.10,15:00,Southend , Brackley,68,16,16,71,29,33,67,ACC
2025.25.10,15:00,Wealdstone , Sutton Utd,68,16,16,39,61,69,31,ACC
2025.25.10,15:00,Woking , Rochdale,21,21,58,33,67,73,27,ACC
2025.25.10,15:00,Yeovil , Carlisle,19,19,62,33,67,68,32,ACC
2025.25.10,17:30,Tamworth , Boston Utd,68,16,16,36,64,60,40,ACC
2025.25.10,15:00,AFC Fylde , Hereford,55,22,22,29,71,71,29,ACC
2025.25.10,15:00,AFC Telford , Worksop Town,55,22,22,40,60,63,37,ACC
2025.25.10,15:00,Buxton , Alfreton Town,69,15,15,32,68,60,40,ACC
2025.25.10,15:00,Chester , Bedford Town,64,18,18,29,71,71,29,ACC
2025.25.10,15:00,Chorley , Merthyr Town,65,17,17,40,60,58,42,ACC
2025.25.10,15:00,Curzon Ashton , Peterborough Sports,68,16,16,39,61,64,36,ACC
2025.25.10,15:00,Darlington , Southport,58,21,21,29,71,64,36,ACC
2025.25.10,15:00,Kidderminster , Spennymoor Town,65,17,17,39,61,73,27,ACC
2025.25.10,15:00,Kings Lynn Town , Radcliffe FC,19,19,61,38,62,71,29,ACC
2025.25.10,15:00,Macclesfield FC , South Shields,19,19,62,31,69,63,37,ACC
2025.25.10,15:00,Oxford City , Leamington,60,20,20,39,61,63,37,ACC
2025.25.10,15:00,Scarborough Athletic , Marine,56,22,22,38,62,64,36,ACC
2025.25.10,14:30,B36 Torshavn , Suduroy,71,14,14,32,68,65,35,ACC
2025.25.10,14:30,Vikingur Gota , HB,60,20,20,31,69,67,33,ACC
2025.25.10,14:30,NSI Runavik , KI Klaksvik,21,21,57,31,69,56,44,ACC
2025.25.10,14:30,07 Vestur , EB / Streymur,78,11,11,29,71,56,44,ACC
2025.25.10,15:00,IF Gnistan , FC Ilves,16,16,67,29,71,65,35,ACC
2025.25.10,16:00,Brest , PSG,11,11,77,33,67,70,30,ACC
2025.25.10,18:00,Monaco , Toulouse,65,17,17,30,70,71,29,ACC
2025.25.10,20:00,Lens , Marseille,16,16,68,30,70,57,43,ACC
2025.25.10,13:00,Amiens , Rodez,15,15,69,29,71,69,31,ACC
2025.25.10,13:00,Montpellier , Nancy,56,22,22,34,66,71,29,ACC
2025.25.10,19:00,Annecy , St Etienne,16,16,68,34,66,59,41,ACC
2025.25.10,14:30,Augsburg , RB Leipzig,15,15,69,33,67,61,39,ACC
2025.25.10,14:30,Borussia Mgladbach , Bayern Munich,12,12,75,32,68,57,43,ACC
2025.25.10,14:30,Eintracht Frankfurt , St Pauli,67,16,16,30,70,66,34,ACC
2025.25.10,14:30,Hamburg , Wolfsburg,62,19,19,32,68,59,41,ACC
2025.25.10,14:30,TSG Hoffenheim , Heidenheim,62,19,19,29,71,57,43,ACC
2025.25.10,17:30,Borussia Dortmund , Cologne,72,14,14,40,60,59,41,ACC
2025.25.10,12:00,Arminia Bielefeld , Elversberg,17,17,66,29,71,60,40,ACC
2025.25.10,12:00,Holstein Kiel , Bochum,69,15,15,38,62,70,30,ACC
2025.25.10,12:00,Dynamo Dresden , Paderborn,18,18,64,30,70,72,28,ACC
2025.25.10,19:30,Hertha Berlin , Fortuna Dusseldorf,59,20,20,39,61,57,43,ACC
2025.25.10,13:00,Cottbus , TSV Havelse,70,15,15,37,63,56,44,ACC
2025.25.10,13:00,FC Ingolstadt , Saarbrucken,56,22,22,33,67,68,32,ACC
2025.25.10,13:00,Waldhof Mannheim , 1860 Munich,57,21,21,37,63,65,35,ACC
2025.25.10,13:00,Jahn Regensburg , VfB Stuttgart II,67,16,16,35,65,59,41,ACC
2025.25.10,13:00,Verl , SSV Ulm 1846,67,16,16,30,70,58,42,ACC
2025.25.10,15:30,Schweinfurt 05 , VfL Osnabruck,21,21,58,33,67,63,37,ACC
2025.25.10,13:00,Memmingen , SpVgg Unterhaching,12,12,76,30,70,59,41,ACC
2025.25.10,13:00,Viktoria Aschaffenburg , Eichstätt,22,22,56,29,71,62,38,ACC
2025.25.10,13:00,Bayern München II , Illertissen,58,21,21,39,61,70,30,ACC
2025.25.10,13:00,Hankofen-Hailing , Aubstadt,21,21,58,30,70,68,32,ACC
2025.25.10,13:00,Schwaben Augsburg , Vilzing,19,19,61,30,70,59,41,ACC
2025.25.10,13:00,Greuther Fürth II , Ansbach,63,18,18,31,69,71,29,ACC
2025.25.10,12:00,Hannover 96 II , HSC Hannover,71,14,14,33,67,63,37,ACC
2025.25.10,13:00,Schöningen , BW Lohne,59,20,20,32,68,73,27,ACC
2025.25.10,13:00,Eintracht Norderstedt , Weiche Flensburg,56,22,22,30,70,62,38,ACC
2025.25.10,14:30,Hamburger SV II , St. Pauli II,62,19,19,39,61,57,43,ACC
2025.25.10,15:00,SSV Jeddeloh , Werder Bremen II,59,20,20,30,70,60,40,ACC
2025.25.10,13:00,Greifswalder FC , FC Carl Zeiss Jena,17,17,65,39,61,58,42,ACC
2025.25.10,13:00,BSG Chemie Leipzig , Hertha BSC II,61,19,19,38,62,60,40,ACC
2025.25.10,13:00,Chemnitzer FC , Hertha Zehlendorf,73,13,13,40,60,61,39,ACC
2025.25.10,13:00,TSV Steinbach , FSV Frankfurt,66,17,17,38,62,65,35,ACC
2025.25.10,13:00,Stuttgarter Kickers , Schott Mainz,78,11,11,31,69,61,39,ACC
2025.25.10,13:00,FSV Mainz 05 II , SGV Freiberg,18,18,64,33,67,67,33,ACC
2025.25.10,13:00,Balingen , Hessen Kassel,20,20,59,30,70,73,27,ACC
2025.25.10,13:00,SG Sonnenhof Grossaspach , Bahlinger SC,74,13,13,36,64,68,32,ACC
2025.25.10,13:00,Freiburg II , FC Astoria Walldorf,21,21,58,34,66,72,28,ACC
