DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
25/10/2025,0:00,Fortaleza (COL),Deportivo Pasto,42,37,21,55,45,41,59,Forebet
25/10/2025,0:00,Devonshire Cougars,YMSC,36,38,26,28,72,70,30,Forebet
25/10/2025,0:00,Coastal Spirit,Christchurch United,35,16,49,39,61,89,11,Forebet
25/10/2025,1:00,Inter Miami CF,Nashville SC,44,27,29,35,65,81,19,Forebet
25/10/2025,1:00,Orense SC,Univ Católica Quito,27,34,40,46,54,61,39,Forebet
25/10/2025,1:00,La Fama,Estrella,39,19,42,18,82,80,20,Forebet
25/10/2025,1:35,Cuiabá,Remo PA,19,42,39,68,32,54,46,Forebet
25/10/2025,2:00,FC Juárez,Puebla FC,59,23,18,37,63,64,36,Forebet
25/10/2025,2:00,San Carlos,Guadalupe FC,30,42,28,56,44,51,49,Forebet
25/10/2025,2:00,Alebrijes de Oaxaca,Tepatitlán de Morelos,24,26,50,45,55,49,51,Forebet
25/10/2025,2:00,New Mexico United,Rhode Island,25,45,30,54,46,54,46,Forebet
25/10/2025,2:00,Zitacuaro,Chilpancingo,38,23,40,47,53,51,49,Forebet
25/10/2025,2:10,Deportivo Pereira,Rionegro Águilas,28,42,30,32,68,62,38,Forebet
25/10/2025,2:15,América de Cali,Junior Barranquilla,31,35,34,46,54,62,38,Forebet
25/10/2025,2:15,Independiente Rivadavia,River Plate,24,27,49,59,41,42,58,Forebet
25/10/2025,2:30,San Francisco FC,Herrera FC,56,31,12,49,51,44,56,Forebet
25/10/2025,3:00,Alacranes Durango,Acatlán,51,23,26,57,43,49,51,Forebet
25/10/2025,3:00,Racing II,Caja Oblatos CFD,51,28,21,70,30,36,64,Forebet
25/10/2025,3:00,Wellington Phoenix (R),Miramar,29,37,34,8,92,92,8,Forebet
25/10/2025,4:00,Mazatlan FC,Club América,15,22,63,30,70,74,26,Forebet
25/10/2025,4:00,Atletico La Paz,CD Irapuato,31,33,35,73,27,50,50,Forebet
25/10/2025,4:00,SKA-Khabarovsk-2,Dynamo Petersburg,15,17,67,58,42,49,51,Forebet
25/10/2025,4:00,Tigres de Álica,UAG Tecos,8,22,69,42,58,63,37,Forebet
25/10/2025,4:00,Reinmeer Aomori FC,Veertien Mie,29,44,27,66,34,51,49,Forebet
25/10/2025,5:00,Auckland,WS Wanderers,27,55,18,53,47,70,30,Forebet
25/10/2025,5:00,Briobecca Urayasu,Yokogawa Musashino,54,33,13,41,59,51,49,Forebet
25/10/2025,5:00,Okinawa SV,MIO Biwako Kusatsu,25,35,40,23,77,69,31,Forebet
25/10/2025,5:00,Honda Lock SC,Criacao Shinjuku,37,39,24,39,61,60,40,Forebet
25/10/2025,5:00,Porvenir Asuka,YSCC,26,54,20,52,48,51,49,Forebet
25/10/2025,6:00,Urawa Red Diamonds,Machida Zelvia,33,43,24,37,63,65,35,Forebet
25/10/2025,6:00,Kashiwa Reysol,Yokohama FC,50,28,22,70,30,40,60,Forebet
25/10/2025,6:00,FC Tokyo,Fagiano Okayama,47,32,22,57,43,39,61,Forebet
25/10/2025,6:00,Yokohama Marinos,Sanfrecce,21,30,50,45,55,64,36,Forebet
25/10/2025,6:00,Shimizu S-Pulse,Tokyo Verdy,31,39,30,62,38,51,49,Forebet
25/10/2025,6:00,Nagoya Grampus,Gamba Osaka,32,31,37,39,61,60,40,Forebet
25/10/2025,6:00,Kyoto Sanga,Kashima Antlers,23,38,39,59,41,49,51,Forebet
25/10/2025,6:00,Fujieda MYFC,Ventforet Kofu,31,34,35,29,71,58,42,Forebet
25/10/2025,6:00,Jeonbuk Hyundai,Sangju Sangmu,45,31,24,39,61,69,31,Forebet
25/10/2025,6:00,Gwangju FC,FC Anyang,29,44,27,47,53,61,39,Forebet
25/10/2025,6:00,Suwon Bluewings,Jeonnam Dragons,33,36,31,21,79,80,20,Forebet
25/10/2025,6:00,Seongnam FC,Hwaseong FC,39,35,26,58,42,37,63,Forebet
25/10/2025,6:00,Ulsan Citizen,Yangpyeong FC,27,26,47,68,32,30,70,Forebet
25/10/2025,6:00,Tochigi Uva,Vanraure Hachinohe,22,30,47,57,43,48,52,Forebet
25/10/2025,6:00,Thespakusatsu,Nara Club,22,25,53,32,68,60,40,Forebet
25/10/2025,6:00,Nagano Parceiro,Azul Claro Numazu,44,33,23,54,46,38,62,Forebet
25/10/2025,6:00,FC Gifu,Kagoshima United,28,30,42,61,39,48,52,Forebet
25/10/2025,6:00,Giravanz K.,Ryukyu,49,26,24,46,54,52,48,Forebet
25/10/2025,7:00,Cerezo Osaka,Kawasaki Frontale,27,41,33,39,61,77,23,Forebet
25/10/2025,7:00,Melbourne City,Perth Glory,33,47,20,36,64,63,37,Forebet
25/10/2025,7:30,Persipura Jayapura,Barito Putera,28,23,49,44,56,61,39,Forebet
25/10/2025,8:00,Stallion FC,Philippine Army,75,12,13,11,89,68,32,Forebet
25/10/2025,8:30,Tianjin Teda,Changchun YaTai,51,36,13,53,47,42,58,Forebet
25/10/2025,8:30,Suwon FC,Jeju United,44,36,21,50,50,47,53,Forebet
25/10/2025,8:30,Shenzhen Juniors,Suzhou Dongwu,27,48,25,60,40,37,63,Forebet
25/10/2025,8:30,Cheonan City,Ansan Greeners,33,40,27,67,33,51,49,Forebet
25/10/2025,8:30,Busan I'Park,GimPo Citizen,24,45,31,64,36,38,62,Forebet
25/10/2025,8:30,Cheongju FC,Bucheon FC 1995,17,27,56,54,46,42,58,Forebet
25/10/2025,8:30,Aceh United,Tornado Pekanbaru,31,35,33,65,35,28,72,Forebet
25/10/2025,9:00,V-Varen Nagasaki,FC Imabari,31,30,38,20,80,68,32,Forebet
25/10/2025,9:00,Viitorul Selimbar,FC Ceahlaul,42,28,30,46,54,52,48,Forebet
25/10/2025,9:00,Corvinul Hunedoara,FC Bacău,46,29,25,75,25,42,58,Forebet
25/10/2025,9:00,Dumbravita,Muscelul Câmpulung Elite,58,25,17,60,40,45,55,Forebet
25/10/2025,9:00,CS Dinamo București,CS Tunari,33,59,9,58,42,51,49,Forebet
25/10/2025,9:00,CSM Satu Mare,CSA Steaua,27,28,46,73,27,50,50,Forebet
25/10/2025,9:00,ASA Târgu Mureș,CSM Slatina,39,31,29,72,28,49,51,Forebet
25/10/2025,9:00,FCM Resita,Politehnica Iasi,39,32,29,77,23,47,53,Forebet
25/10/2025,9:00,Sepsi OSK,Gloria Bistrita,44,29,27,77,23,43,57,Forebet
25/10/2025,9:00,Concordia Chiajna,Metalul Buzau,53,21,26,55,45,49,51,Forebet
25/10/2025,9:00,FK Kolín,Neratovice-Byskovice,33,36,30,60,40,60,40,Forebet
25/10/2025,9:00,Legia Warszawa U19,Arkonia U19,45,29,26,65,35,48,52,Forebet
25/10/2025,9:15,FK Jablonec B,Teplice B,31,35,34,46,54,78,22,Forebet
25/10/2025,9:15,Motorlet Praha,Slavia Prague C,31,30,39,72,28,40,60,Forebet
25/10/2025,9:15,Loko Vltavin,SK Kladno,38,16,46,37,63,79,21,Forebet
25/10/2025,9:15,Fotbal Trinec,MFK Vítkovice,48,30,21,28,72,84,16,Forebet
25/10/2025,9:15,Povltavska FA,Petřín Plzeň II,53,26,21,67,33,47,53,Forebet
25/10/2025,9:15,Slavoj Cesky Krumlov,Horovicko,27,25,48,31,69,84,16,Forebet
25/10/2025,9:15,FK Krimice,Milevsko,33,36,30,67,33,60,40,Forebet
25/10/2025,9:15,TJ Přeštice,Jiskra Domažlice II,27,34,39,30,70,76,24,Forebet
25/10/2025,9:15,Banik Sokolov,Olympie Brezova,48,23,28,17,83,79,21,Forebet
25/10/2025,9:15,Brandys n. Labem,Spartak Police n/Metují,47,35,18,35,65,62,38,Forebet
25/10/2025,9:15,Kuřim,Chotebor,40,31,29,67,33,36,64,Forebet
25/10/2025,9:15,Havlickuv Brod,TJ Tatran Bohunice,22,17,61,52,48,42,58,Forebet
25/10/2025,9:30,Persik Kediri,PSM Makassar,33,43,24,60,40,51,49,Forebet
25/10/2025,9:30,Persela Lamongan,PSS Sleman,15,27,59,40,60,70,30,Forebet
25/10/2025,9:30,Velke Hamry,Pardubice B,33,29,38,5,95,95,5,Forebet
25/10/2025,9:30,Rayong United,Pattaya City,36,38,26,27,73,77,23,Forebet
25/10/2025,9:30,Khonkaen Mordindang FC,Ubon Eastern,27,39,34,83,17,31,69,Forebet
25/10/2025,9:30,Roi Et United,Surin City,41,35,24,55,45,32,68,Forebet
25/10/2025,9:30,KBU FC,Royal Thai Air Force,37,28,35,33,67,66,34,Forebet
25/10/2025,9:30,Singbury Warriors,Lopburi City,29,40,31,77,23,30,70,Forebet
25/10/2025,9:30,Saraburi United,Ang Thong,29,37,34,60,40,55,45,Forebet
25/10/2025,9:30,Suphanburi FC,Assumption United,32,29,39,77,23,31,69,Forebet
25/10/2025,9:30,Uttaradit FC,Khelang United,43,20,37,49,51,75,25,Forebet
25/10/2025,9:30,Kamphaengphet FC,Chiangrai City,17,34,48,61,39,39,61,Forebet
25/10/2025,9:30,FK Komarov,Hluboká nad Vltavou,42,27,32,60,40,49,51,Forebet
25/10/2025,9:30,Sokol Milin-Ligmet,Spartak Sobeslav,31,32,37,27,73,87,13,Forebet
25/10/2025,9:30,Ústí nad Labem II,Spoje Praha,30,36,34,77,23,54,46,Forebet
25/10/2025,9:30,Viktoria Marianske L.,Štětí,37,26,38,32,68,79,21,Forebet
25/10/2025,9:30,Hlinsko,FK Pencin-Turnov,28,23,48,38,62,83,17,Forebet
25/10/2025,9:30,Kosmonosy,Chrudim II,62,23,14,20,80,49,51,Forebet
25/10/2025,9:30,Lao Army,Salavan United,37,36,26,74,26,40,60,Forebet
25/10/2025,9:35,Sydney FC,CC Mariners,26,19,55,29,71,70,30,Forebet
25/10/2025,9:45,Kirivong Sok Sen Chey,National Defense,18,38,44,50,50,39,61,Forebet
25/10/2025,10:00,Viktoriya Mykolaivka,FC Ahrobiznes,40,38,22,75,25,34,66,Forebet
25/10/2025,10:00,ISPE FC,Thitsar Arman,43,33,24,27,73,66,34,Forebet
25/10/2025,10:00,Yangon United,Hantharwady United,43,38,19,44,56,87,13,Forebet
25/10/2025,10:00,Banbueng City,Royal Thai Fleet,40,28,32,62,38,49,51,Forebet
25/10/2025,10:00,Raj Pracha,Royal Thai Army,55,33,11,75,25,23,77,Forebet
25/10/2025,10:00,Maejo United,See Kwae City FC,52,20,28,25,75,59,41,Forebet
25/10/2025,10:00,Dai Hoc Van Hien,Phú Thọ,45,44,12,62,38,37,63,Forebet
25/10/2025,10:00,Ingolstadt U19,Stuttgart U19,18,13,68,17,83,90,10,Forebet
25/10/2025,10:00,Freiburg U19,Unterhaching U19,47,30,23,31,69,75,25,Forebet
25/10/2025,10:00,Duisburg U19,Viktoria Köln U19,45,13,42,32,68,75,25,Forebet
25/10/2025,10:00,Schott Mainz U19,FSV Frankfurt U19,43,10,48,14,86,61,39,Forebet
25/10/2025,10:00,Kickers Offenbach U19,Eintracht Frankfurt U19,18,9,73,1,99,91,9,Forebet
25/10/2025,10:00,Cagliari U19,Verona U19,20,35,45,43,57,50,50,Forebet
25/10/2025,10:00,Cremonese U19,Inter U19,20,32,48,78,22,25,75,Forebet
25/10/2025,10:00,Como U19,Renate U19,62,26,13,17,83,49,51,Forebet
25/10/2025,10:00,Pisa U19,Salernitana U19,64,12,24,41,59,69,31,Forebet
25/10/2025,10:00,FC Fastav Zlin U19,Jihlava U19,47,31,23,50,50,51,49,Forebet
25/10/2025,10:00,Slavia Prague U19,Hradec Kralove U19,45,22,33,19,81,90,10,Forebet
25/10/2025,10:00,Brno U19,Mlada Boleslav U19,59,29,12,56,44,49,51,Forebet
25/10/2025,10:00,Sparta Praha U19,Dukla Prague U19,32,28,40,41,59,75,25,Forebet
25/10/2025,10:00,Slovacko U19,Karvina U19,64,16,19,37,63,49,51,Forebet
25/10/2025,10:00,Slovan Liberec U19,Plzen U19,42,17,41,12,88,84,16,Forebet
25/10/2025,10:00,Sibir Novosibirsk,Alania Vladikavkaz,49,25,26,58,42,42,58,Forebet
25/10/2025,10:00,Master 7 FC,Ezra,11,18,72,32,68,65,35,Forebet
25/10/2025,10:00,Zaglebie U19,Jagiellonia U19,53,12,35,44,56,74,26,Forebet
25/10/2025,10:00,Nyva Ternopil II,Atlet,50,13,37,63,37,38,62,Forebet
25/10/2025,10:30,Oleksandria II,Rebel,45,29,26,67,33,36,64,Forebet
25/10/2025,10:30,Nurnberg U19,Jahn Regensburg U19,66,15,18,27,73,78,22,Forebet
25/10/2025,10:30,Benevento U19,Crotone U19,57,27,15,19,81,65,35,Forebet
25/10/2025,10:45,Maharlika FC,Mendiola FC,54,15,31,9,91,76,24,Forebet
25/10/2025,11:00,Botev Vratsa,Septemvri Sofia,43,40,17,52,48,39,61,Forebet
25/10/2025,11:00,Metalist 1925 Kharkiv,LNZ Cherkasy,32,43,25,55,45,57,43,Forebet
25/10/2025,11:00,Uniao Leiria,Leixões SC,63,21,16,62,38,41,59,Forebet
25/10/2025,11:00,Sporting Lisboa B,Lusitânia FC,48,23,28,52,48,49,51,Forebet
25/10/2025,11:00,Prykarpattya,Inhulets Petrove,23,30,48,59,41,39,61,Forebet
25/10/2025,11:00,Sollentuna FK,United Nordic,24,16,59,47,53,70,30,Forebet
25/10/2025,11:00,Yeni Malatyaspor,Hekimoglu Trabzon,51,17,33,3,97,69,31,Forebet
25/10/2025,11:00,Blackburn U23s,Man City U23s,27,28,45,33,67,77,23,Forebet
25/10/2025,11:00,Salyut Belgorod,Rotor-2 Volgograd,65,29,7,46,54,49,51,Forebet
25/10/2025,11:00,JDFS Alberts,Tukums II,61,24,15,41,59,68,32,Forebet
25/10/2025,11:00,Ellas Syros,Egaleo AO Athens,45,37,18,37,63,49,51,Forebet
25/10/2025,11:00,Fatsa Belediyespor,Giresunspor,40,32,28,63,37,49,51,Forebet
25/10/2025,11:00,12 Bingölspor,Mazıdagı Fosfatspor,43,30,27,70,30,44,56,Forebet
25/10/2025,11:00,Sanna Khanh Hoa,PVF-CAND II,34,34,32,65,35,49,51,Forebet
25/10/2025,11:00,Arucas CF,CD Atlético Paso,12,25,63,57,43,37,63,Forebet
25/10/2025,11:00,Wehen U19,RW Essen U19,38,14,48,25,75,70,30,Forebet
25/10/2025,11:00,BAK 07 U19,Chemnitzer FC U19,65,10,25,17,83,79,21,Forebet
25/10/2025,11:00,FK Pardubice U19,Ostrava U19,20,36,44,54,46,49,51,Forebet
25/10/2025,11:00,Dynamo-2 Moscow,FK Leningradets,27,29,45,64,36,36,64,Forebet
25/10/2025,11:00,Wisła Płock II,Warta Sieradz,25,34,42,60,40,49,51,Forebet
25/10/2025,11:00,Jagiellonia II,MKS Mlawa,36,44,20,39,61,62,38,Forebet
25/10/2025,11:00,Lipno Stęszew,Kluczevia Stargard,30,34,36,82,18,40,60,Forebet
25/10/2025,11:00,Sparta Katowice,Starowice Dolne,44,33,23,75,25,37,63,Forebet
25/10/2025,11:00,Wisla U19,Polonia W. U19,39,25,36,35,65,75,25,Forebet
25/10/2025,11:00,R. Rzeszow U19,Lech Poznan U19,24,28,49,65,35,45,55,Forebet
25/10/2025,11:00,Lechia Gdańsk U19,Odra Opole U19,59,22,19,40,60,49,51,Forebet
25/10/2025,11:00,England U19 W,Greece U19 W,44,21,35,1,99,45,55,Forebet
25/10/2025,11:15,Escola Varsovia U19,Legnica U19,37,27,36,20,80,90,10,Forebet
25/10/2025,11:30,Adana Demirspor,Van BB,13,39,48,39,61,51,49,Forebet
