DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-10-25,00:00,Fortaleza CEIF , Dep. Pasto,47,39,14,54,46,57,43,PREMA
2025-10-25,00:00,Coastal Spirit , Christchurch Utd,32,5,61,25,75,51,49,PREMA
2025-10-25,01:00,Orense SC , Un. Catolica Q.,35,32,33,55,45,51,49,PREMA
2025-10-25,01:00,Inter Miami , Nashville SC,43,30,27,32,68,64,36,PREMA
2025-10-25,01:35,Cuiaba MT , Remo PA,34,33,33,63,37,53,47,PREMA
2025-10-25,02:00,San Carlos , Guadalupe FC,37,23,40,58,42,42,58,PREMA
2025-10-25,02:00,Juarez , Puebla,63,23,14,44,56,61,39,PREMA
2025-10-25,02:00,Alebrijes Oaxaca , Tepatitlan,20,34,46,43,57,58,42,PREMA
2025-10-25,02:10,Ind. Rivadavia , River Plate,27,34,39,61,39,43,57,PREMA
2025-10-25,02:10,America de Cali , J. Barranquilla,22,40,38,54,46,52,48,PREMA
2025-10-25,02:10,Dep. Pereira , Aguilas Doradas,28,42,30,52,48,57,43,PREMA
2025-10-25,03:00,Wellington Ph B , Miramar Rangers,58,10,32,17,83,57,43,PREMA
2025-10-25,04:00,Mazatlan , Club America,14,44,42,39,61,66,34,PREMA
2025-10-25,04:00,Atletico La Paz , Irapuato,34,25,41,38,62,57,43,PREMA
2025-10-25,05:00,Auckland FC , WS Wanderers,40,32,28,81,19,57,43,PREMA
2025-10-25,06:00,Kashiwa Reysol , Yokohama FC,52,30,18,63,37,43,57,PREMA
2025-10-25,06:00,Kyoto Sanga , Kashima Antlers,38,23,39,52,48,52,48,PREMA
2025-10-25,06:00,Nagoya Grampus , Gamba Osaka,30,29,41,47,53,50,50,PREMA
2025-10-25,06:00,Shimizu S, Tokyo Verdy,31,38,31,63,37,37,63,PREMA
2025-10-25,06:00,Tokyo , Fagiano Okayama,42,24,34,60,40,41,59,PREMA
2025-10-25,06:00,Urawa Red Diam. , Machida Zelvia,40,23,37,54,46,47,53,PREMA
2025-10-25,06:00,Yokohama F M. , S. Hiroshima,26,26,48,59,41,41,59,PREMA
2025-10-25,06:00,Fujieda MYFC , Ventforet Kofu,35,26,39,58,42,48,52,PREMA
2025-10-25,06:00,Seongnam , Hwaseong FC,38,38,24,62,38,48,52,PREMA
2025-10-25,06:00,Suwon Bluewings , Jeonnam Dragons,35,34,31,45,55,61,39,PREMA
2025-10-25,07:00,Melbourne City , Perth Glory,43,32,25,48,52,90,10,PREMA
2025-10-25,07:00,Cerezo Osaka , Kawasaki Front.,26,35,39,44,56,62,38,PREMA
2025-10-25,08:30,Tianjin J. Tiger , Changchun Yatai,62,22,16,47,53,55,45,PREMA
2025-10-25,08:30,Busan I'Park , Gimpo,30,37,33,61,39,45,55,PREMA
2025-10-25,08:30,Cheonan City , Ansan Greeners,39,29,32,56,44,44,56,PREMA
2025-10-25,08:30,Chungbuk Cheongju , Bucheon 1995,20,23,57,47,53,53,47,PREMA
2025-10-25,09:00,V, Imabari,39,30,31,54,46,55,45,PREMA
2025-10-25,09:30,Persik Kediri , PSM Makassar,42,34,24,58,42,63,37,PREMA
2025-10-25,09:35,Sydney , CC Mariners,43,32,25,15,85,90,10,PREMA
2025-10-25,10:00,Viktoriya Sumy , Ahrobiznes,28,35,37,63,37,31,69,PREMA
2025-10-25,11:00,Botev Vratsa , Septemvri Sofia,43,30,27,55,45,50,50,PREMA
2025-10-25,11:00,Sporting CP B , Lusitania,37,32,31,53,47,44,56,PREMA
2025-10-25,11:00,Uniao Leiria , Leixoes,49,33,18,62,38,40,60,PREMA
2025-10-25,11:00,Metalist 1925 , LNZ Cherkasy,28,36,36,75,25,38,62,PREMA
2025-10-25,11:30,Adana Demirspor , Vanspor,17,35,48,39,61,43,57,PREMA
2025-10-25,11:30,Sariyer SK , Manisa,41,32,27,46,54,63,37,PREMA
2025-10-25,12:00,Naftan , Dinamo Minsk,21,24,55,43,57,45,55,PREMA
2025-10-25,12:00,Henan , Zhejiang Pro,32,23,45,34,66,66,34,PREMA
2025-10-25,12:00,Arm. Bielefeld , Elversberg,29,5,66,40,60,55,45,PREMA
2025-10-25,12:00,Dynamo Dresden , Paderborn,13,44,43,40,60,62,38,PREMA
2025-10-25,12:00,Holstein Kiel , Bochum,68,13,19,47,53,55,45,PREMA
2025-10-25,12:00,Ast. Tripolis B , PAS Giannina,62,10,28,59,41,44,56,PREMA
2025-10-25,12:00,Iraklis , Niki Volos,44,17,39,37,63,50,50,PREMA
2025-10-25,12:00,East Bengal , Dempo Goa,46,38,16,49,51,35,65,PREMA
2025-10-25,12:00,Kakamega Homeboyz , Ulinzi Stars,41,35,24,74,26,28,72,PREMA
2025-10-25,12:00,Ballkani , Gjilani,63,16,21,55,45,50,50,PREMA
2025-10-25,12:00,Prishtina e Re , Malisheva,40,14,46,47,53,50,50,PREMA
2025-10-25,12:00,BFC Daugavpils , Super Nova Riga,51,23,26,50,50,61,39,PREMA
2025-10-25,12:00,Arendal , Jerv Grimstad,35,31,34,39,61,72,28,PREMA
2025-10-25,12:00,Brann Bergen 2 , Traeff,40,30,30,40,60,65,35,PREMA
2025-10-25,12:00,Eik Tonsberg , Sandnes,24,33,43,39,61,60,40,PREMA
2025-10-25,12:00,IL Sandviken , Brattvag,30,32,38,37,63,71,29,PREMA
2025-10-25,12:00,Pors Grenland , Notodden,28,46,26,40,60,67,33,PREMA
2025-10-25,12:00,Sotra SK , Lysekloster IL,51,24,25,41,59,57,43,PREMA
2025-10-25,12:00,Vard Haugesund , Flekkeroy IL,42,37,21,39,61,64,36,PREMA
2025-10-25,12:00,Eidsvold TF , Ullensaker Kisa,44,19,37,25,75,79,21,PREMA
2025-10-25,12:00,Follo , Strommen,24,13,63,28,72,67,33,PREMA
2025-10-25,12:00,Honefoss , Asker,69,18,13,28,72,63,37,PREMA
2025-10-25,12:00,Kjelsas , Alta,61,17,22,28,72,64,36,PREMA
2025-10-25,12:00,Levanger , Strindheim,59,20,21,36,64,63,37,PREMA
2025-10-25,12:00,Rana FK , Stjordals Blink,41,10,49,33,67,62,38,PREMA
2025-10-25,12:00,Tromsdalen , Grorud,41,20,39,32,68,66,34,PREMA
