DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-10-25,17:00,Napoli,Inter,38,25,37,46,54,55,45,STA
2025-10-25,19:45,Cremonese,Atalanta,28,34,38,38,62,47,53,STA
2025-10-25,14:00,Udinese,Lecce,46,30,24,51,49,53,47,STA
2025-10-25,20:00,Brentford,Liverpool,29,24,47,27,73,67,33,STA
2025-10-25,15:00,Newcastle,Fulham,57,22,21,48,52,50,50,STA
2025-10-25,15:00,Chelsea,Sunderland,71,17,12,38,62,41,59,STA
2025-10-25,17:30,Manchester Utd,Brighton,45,26,29,36,64,61,39,STA
2025-10-25,16:00,Stade Brestois 29,Paris Saint Germain,18,21,61,26,74,58,42,STA
2025-10-25,18:00,Monaco,Toulouse,57,25,18,35,65,57,43,STA
2025-10-25,20:05,Lens,Marseille,34,32,34,43,57,55,45,STA
2025-10-25,14:30,Borussia Monchengladbach,Bayern Munich,15,17,68,24,76,57,43,STA
2025-10-25,14:30,FC Augsburg,RB Leipzig,21,33,46,35,65,64,36,STA
2025-10-25,17:30,Borussia Dortmund,FC Koln,58,23,19,28,72,58,42,STA
2025-10-25,14:30,Eintracht Frankfurt,FC St. Pauli,49,26,25,30,70,57,43,STA
2025-10-25,14:30,Hamburger SV,VfL Wolfsburg,40,30,30,41,59,59,41,STA
2025-10-25,14:30,1899 Hoffenheim,FC Heidenheim,53,21,26,34,66,55,45,STA
2025-10-25,17:30,Athletic Club,Getafe,53,27,20,52,48,38,62,STA
2025-10-25,20:00,Valencia,Villarreal,30,31,39,48,52,55,45,STA
2025-10-25,15:15,Espanyol,Elche,50,28,22,48,52,55,45,STA
2025-10-25,13:00,Girona,Oviedo,46,25,29,47,53,40,60,STA
2025-10-25,21:30,Fluminense,Internacional,53,29,18,56,44,50,50,STA
2025-10-25,20:00,Vitoria,Corinthians,34,33,33,61,39,47,53,STA
2025-10-25,20:00,Atletico Mineiro,Ceara,51,31,18,61,39,46,54,STA
2025-10-25,22:30,Sport Recife,Mirassol,23,34,43,55,45,55,45,STA
2025-10-25,23:30,Fortaleza,Flamengo,19,24,57,54,46,42,58,STA
2025-10-25,20:30,Benfica,Arouca,69,21,10,27,73,48,52,STA
2025-10-25,04:00,Mazatlan FC,Club America,18,30,52,39,61,67,33,STA
2025-10-25,02:00,FC Juarez,Puebla,55,28,17,43,57,58,42,STA
2025-10-25,15:15,Eibar,Leganes,37,37,26,70,30,34,66,STA
2025-10-25,17:30,Granada CF,Cadiz,36,30,34,45,55,51,49,STA
2025-10-25,20:00,Mirandes,Racing Santander,25,26,49,41,59,58,42,STA
2025-10-25,15:15,Albacete,Cordoba,47,32,21,47,53,54,46,STA
2025-10-25,06:00,Yokohama F. Marinos,Hiroshima,25,26,49,45,55,50,50,STA
2025-10-25,07:00,C-Osaka,Kawasaki Frontale,32,34,34,38,62,68,32,STA
2025-10-25,06:00,Urawa,Machida Zelvia,35,35,30,52,48,50,50,STA
2025-10-25,06:00,Nagoya Grampus,G-Osaka,32,32,36,42,58,62,38,STA
2025-10-25,06:00,Kyoto Sanga,Kashima Antlers,39,30,31,45,55,53,47,STA
2025-10-25,06:00,Kashiwa Reysol,Yokohama FC,64,25,11,54,46,45,55,STA
2025-10-25,06:00,FC Tokyo,Fagiano Okayama,46,28,26,44,56,46,54,STA
